,pmid,doi,journal,country,title,authors,abstract,citation_count,published_at
88746,32701252,10.1097/01.ASW.0000669916.01793.93,Advances in skin & wound care,United States,Telemedicine and the COVID-19 Pandemic: Are We Ready to Go Live?,"Emily C Mills, Elizabeth Savage, Jessica Lieder, Ernest S Chiu","<Abstract>
                <AbstractText>Telemedicine use in the field of wound care had been increasing in popularity when the novel coronavirus 2019 paralyzed the globe in early 2020. To combat the constraints of healthcare delivery during this time, the use of telemedicine has been further expanded. Although many limitations of telemedicine are still being untangled, the benefits of virtual care are being realized in both inpatient and outpatient settings. In this article, the advantages and disadvantages of telemedicine are discussed through two case examples that highlight the promise of implementation during and beyond the pandemic.</AbstractText>
            </Abstract>",4,2021-02-02 00:00:00
158439,34447684,10.14218/JCTH.2020.00098,Journal of clinical and translational hepatology,China,COVID-19 in Liver Transplant Recipients.,"Ravina Kullar, Ankur Prakash Patel, Sammy Saab","<Abstract><AbstractText Label=""Background and Aims"" NlmCategory=""UNASSIGNED"">Coronavirus disease 2019 (COVID-19) has infected over 93 million people worldwide as of January 14, 2021. Various studies have gathered data on liver transplant patients infected with COVID-19. Here, we discuss the presentation of COVID-19 in immunosuppressed patients with prior liver transplants. We also evaluate patient outcomes after infection.</AbstractText><AbstractText Label=""Methods"" NlmCategory=""UNASSIGNED"">We searched the PubMed database for all studies focused on liver transplant patients with COVID-19.</AbstractText><AbstractText Label=""Results"" NlmCategory=""UNASSIGNED"">We identified eight studies that evaluated COVID-19 infection in liver transplant patients (<i>n</i>=494). Hypertension was the most prevalent comorbidity in our cohort. Calcineurin inhibitors were the most common immunosuppressant medications in the entire cohort. The average time from liver transplant to COVID-19 infection in our cohort was 74.1 months. Fever and cough, at 70% and 62% respectively, were the most common symptoms in our review. In total, 50% of the patients received hydroxychloroquine as treatment for COVID-19. The next most prevalent treatment was azithromycin, given to 30% of patients in our cohort. In total, 80% of the patients were admitted to a hospital and 17% required intensive care unit-level care, with 21% having required mechanical ventilation. Overall mortality was 17% in our review.</AbstractText><AbstractText Label=""Conclusions"" NlmCategory=""UNASSIGNED"">Given the immunocompromised status of liver transplant patients, more intensive surveillance is necessary for severe cases of COVID-19 infection. As liver transplantations have been restricted during the COVID-19 pandemic, further investigation is warranted for studying the risk of COVID-19 infection in liver transplant patients.</AbstractText><CopyrightInformation>© 2021 Authors.</CopyrightInformation></Abstract>",0,2021-08-28 00:00:00
23163,33210826,10.1111/1753-0407.13135,Journal of diabetes,Australia,The potential effects of clinical antidiabetic agents on SARS-CoV-2.,"Hua Qu, Yi Zheng, Yuren Wang, Hongwei Li, Xiufei Liu, Xin Xiong, Linlin Zhang, Jing Gu, Gangyi Yang, Zhiming Zhu, Hongting Zheng, Qin Ouyang","<Abstract>
                <AbstractText Label=""BACKGROUND"" NlmCategory=""BACKGROUND"">Coronavirus disease 2019 (COVID-19), caused by severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2), is currently posing significant threats to public health worldwide. It is notable that a substantial proportion of patients with sever COVID-19 have coexisting diabetic conditions, indicating the progression and outcome of COVID-19 may relate to diabetes. However, it is still unclear whether diabetic treatment principles can be used for the treatment of COVID-19.</AbstractText>
                <AbstractText Label=""METHODS"" NlmCategory=""METHODS"">We conducted a computational approach to screen all commonly used clinical oral hypoglycemic drugs to identify the potential inhibitors for the main protease (M<sup>pro</sup> ) of SARS-CoV-2, which is one of the key drug targets for anti-COVID-19 drug discovery.</AbstractText>
                <AbstractText Label=""RESULTS"" NlmCategory=""RESULTS"">Six antidiabetic drugs with docking scores higher than 8.0 (cutoff value), including repaglinide, canagliflozin, glipizide, gliquidone, glimepiride, and linagliptin, were predicted as the promising inhibitors of M<sup>pro</sup> . Interestingly, repaglinide, one of the six antidiabetic drugs with the highest docking score for M<sup>pro</sup> , was similar to a previously predicted active molecule nelfinavir, which is a potential anti-HIV and anti-COVID-19 drug. Moreover, we found repaglinide shared similar docking pose and pharmacophores with a reported ligand (N3 inhibitor) and nelfinavir, demonstrating that repaglinide would interact with M<sup>pro</sup> in a similar way.</AbstractText>
                <AbstractText Label=""CONCLUSION"" NlmCategory=""CONCLUSIONS"">These results indicated that these six antidiabetic drugs may have an extra effect on the treatment of COVID-19, although further studies are necessary to confirm these findings.</AbstractText>
                <CopyrightInformation>© 2020 Ruijin Hospital, Shanghai Jiaotong University School of Medicine and John Wiley &amp; Sons Australia, Ltd.</CopyrightInformation>
            </Abstract>",2,2021-02-04 00:00:00
3889,33879980,10.1007/s12291-021-00977-y,Indian journal of clinical biochemistry : IJCB,India,CRISPR/Cas-New Molecular Scissors in Diagnostics and Therapeutics of COVID-19.,"A Gadwal, D Roy, M Khokhar, A Modi, P Sharma, P Purohit","<Abstract>
                <AbstractText>The current pandemic of COVID-19, with its climbing number of cases and deaths, has us searching for tools for rapid, reliable, and affordable methods of detection on one hand, and novel, improved therapeutic strategies on the other. The currently employed RT-PCR method, despite its all-encompassing utility, has its shortcomings. Newer diagnostic tools, based on the Clustered Regularly Interspaced Short Palindromic Repeats/Cas(CRISPR-Cas) system, with its better diagnostic accuracy measures, have come up to fill that void. These assay platforms are expected to slowly take up the place of COVID-19 diagnostics. Further, the current therapeutic options focus mainly on counteracting the viral proteins and components and their entry into host cells. The CRISPR-based system, especially through the RNA-guided Cas13 approach, can identify the genomic characteristics of SARS-CoV-2 and provide a novel inhibition strategy for coronaviruses. In this mini-review, we have discussed the available and upcoming CRISPR-based diagnostic assays and the potential of the CRISPR/Cas system as a therapeutic or prevention strategy in COVID-19. CRISPR-Cas system shows promise in both diagnostics as well as therapeutics and may as well change the face of molecular diagnosis and precision medicine.</AbstractText>
                <CopyrightInformation>© Association of Clinical Biochemists of India 2021.</CopyrightInformation>
            </Abstract>",0,2021-04-22 00:00:00
142727,34039055,,,,,,,0,
40872,33915556,10.1097/TME.0000000000000352,Advanced emergency nursing journal,United States,Racial Bias Among Emergency Providers: Strategies to Mitigate Its Adverse Effects.,"Camille Brockett-Walker, Michelle Lall, Dian Dowling Evans, Sheryl Heron","<Abstract>
                <AbstractText>The Research to Practice column presents an analysis of current and controversial research findings with implications for practice change relevant to emergency care settings. This review critiques Johnson et al.'s (2016) investigation, titled ""The Impact of Cognitive Stressors in the Emergency Department on Physician Implicit Racial Bias,"" that examined emergency department characteristics and stressors and their effects on physician racial bias and decision making. Their findings suggest that unconscious biases can affect clinical decisions when providers experience increased cognitive stress. The implications are significant for emergency providers as resources are especially strained during the COVID-19 pandemic and as the adverse effects of unconscious bias on health disparities and patient outcomes have become clearly apparent. Implicit bias training (IBT) is recommended for emergency providers and has significant implications for medical and nurse educators in executing and evaluating IBT outcomes.</AbstractText>
                <CopyrightInformation>Copyright © 2021 Wolters Kluwer Health, Inc. All rights reserved.</CopyrightInformation>
            </Abstract>",0,2021-05-20 00:00:00
21654,33524539,10.1016/j.phrs.2021.105473,Pharmacological research,Netherlands,Anticoagulant or antiplatelet use and severe COVID-19 disease: A propensity score-matched territory-wide study.,"Jiandong Zhou, Sharen Lee, Cosmos Liutao Guo, Carlin Chang, Tong Liu, Keith Sai Kit Leung, Abraham Ka Chung Wai, Bernard Man Yung Cheung, Gary Tse, Qingpeng Zhang","<?xml version=""1.0""?>
<p/>
",4,2021-03-23 00:00:00
82230,32535850,10.1007/s40279-020-01301-z,"Sports medicine (Auckland, N.Z.)",New Zealand,Returning to Sport Following COVID-19: Considerations for Heat Acclimatization in Secondary School Athletics.,"William M Adams, Julien D Périard","<?xml version=""1.0""?>
<p/>
",2,2020-12-18 00:00:00
147929,34107137,10.1111/ijcp.14479,International journal of clinical practice,England,Impact of intermediate to high doses of methylprednisolone on mortality rate in patients with COVID-19 pneumonia-induced severe systemic inflammation.,"Mónica Climente-Martí, Oreto Ruiz-Millo, Ian López-Cruz, Ángel Atienza-García, Eva Martínez-Moragón, Emilio Garijo-Gómez, María Luisa López-Grima, Rafael Zaragoza-Crespo, Juan Vicente Llau-Pitarch, Daniel Bautista-Rentero, José Miguel Nogueira-Coito, Tomás Ripollés-González, María Antonia Marco-Artal, Ramón Romero-Serrano, Francisco Dolz-Sinisterra, Rosario López-Estudillo,  ","<Abstract><AbstractText Label=""INTRODUCTION"" NlmCategory=""BACKGROUND"">In addition to respiratory support needs, patients' characteristics to guide indication or timing of corticosteroid treatment in COVID-19 patients are not completely established. This study aimed to evaluate the impact of methylprednisolone on mortality rate in patients with COVID-19 pneumonia-induced severe systemic inflammation (PI-SSI).</AbstractText><AbstractText Label=""METHODS"" NlmCategory=""METHODS"">Between 9 March and 5 May 2020 (final follow-up on 2 July 2020), a retrospective cohort study was conducted in hospitalised patients with COVID-19 PI-SSI (≥2 inflammatory biomarkers [IBs]: temperature ≥38℃, lymphocyte ≤800 cell/µL, C-reactive protein ≥100 mg/L, lactate dehydrogenase ≥300 units/L, ferritin ≥1000 mcg/L, D-dimer ≥500 ng/mL). Patients received 0.5-1.0 mg/kg of methylprednisolone for 5-10 days or standard of care. The primary outcome was 28-day all-cause mortality. Secondary outcomes included ≥2 points improvement on a 7-item WHO-scale (Day 14), transfer to intensive care unit (ICU) (Day 28) and adverse effects. Kaplan-Meier method and Cox proportional hazard regression were implemented to analyse the time to event outcomes.</AbstractText><AbstractText Label=""RESULTS"" NlmCategory=""RESULTS"">A total of 142 patients (corticosteroid group n = 72, control group n = 70) were included. A significant reduction in 28-day all-cause mortality was shown with methylprednisolone in patients with respiratory support (HR: 0.15; 95% CI 0.03-0.71), with ≥3 (HR: 0.17; 95% CI 0.05-0.61) or ≥4 altered IB (HR: 0.15; 95% CI 0.04-0.54) and in patients with both respiratory support and ≥3 (HR: 0.11; 95% CI 0.02-0.53] or ≥4 altered IB (HR: 0.14; 95% CI 0.04-0.51). No significant differences were found in secondary outcomes.</AbstractText><AbstractText Label=""CONCLUSION"" NlmCategory=""CONCLUSIONS"">Intermediate to high doses of methylprednisolone, initiated between 5 and 12 days after symptom onset, was associated with a significant reduction in 28-day all-cause mortality in patients with COVID-19 pneumonia and ≥3 o ≥ 4 altered IB, independently of the need of respiratory support.</AbstractText><CopyrightInformation>© 2021 John Wiley &amp; Sons Ltd.</CopyrightInformation></Abstract>",0,2021-08-17 00:00:00
117948,32229048,10.1016/j.bulcan.2020.03.001,Bulletin du cancer,France,[SARS-CoV-2/COVID 19 Infection and Solid Cancers: Synthesis of Recommendations for Health Professionals].,"Thomas Grellety, Alain Ravaud, Anne Canivet, Gérard Ganem, Philippe Giraud, Rosine Guimbaud, Laure Kaluzinski, Ivan Krakowski, Didier Mayeur, Jean-Pierre Lotz, Benoit You","<?xml version=""1.0""?>
<p/>
",11,2020-12-24 00:00:00
87322,32746670,10.1080/09546634.2020.1799920,The Journal of dermatological treatment,England,Change of dermatological practice after the COVID-19 outbreak resolves.,"Chuang Gao, Baoyi Liu, Yongyi Xie, Zhouwei Wu","<Abstract>
                <AbstractText Label=""AIM"" NlmCategory=""UNASSIGNED"">Dermatological care has already been deeply impacted by the coronavirus disease-2019 (COVID-19) epidemic. The consequences may continue long after the epidemic resolves. In this study, we aimed to evaluate the change of dermatological practice since the COVID-19 outbreak is almost controlled in mainland China.</AbstractText>
                <AbstractText Label=""MATERIAL AND METHODS"" NlmCategory=""UNASSIGNED"">Patients requesting a dermatology outpatient visit from January to May in 2019 and 2020 were retrospectively investigated.</AbstractText>
                <AbstractText Label=""RESULTS"" NlmCategory=""UNASSIGNED"">The number of patients decreased significantly shortly after the COVID-19 outbreak, and it started to increase after the spread of coronavirus was gradually controlled at the end of February in China. The three most common diseases were atopic dermatitis (11.0%), acne (10.2%), and warts (7.2%) in 2019, while acne (8.9%), warts (5.8%), and acute urticaria (5.6%) in 2020. The most statistically significant increased reasons for requesting an outpatient visit from March to May in 2020 was pet-related dermatophytoses, followed by cosmetic consultation and irritated contact dermatitis, an increase of 88.2%, 84.7%, and 58.8%, respectively, over the same period of 2019.</AbstractText>
                <AbstractText Label=""CONCLUSION"" NlmCategory=""UNASSIGNED"">Understanding the trends and impacts of dermatologic diseases on patients and health systems during this epidemic will allow for better preparation of dermatologists in the future.</AbstractText>
            </Abstract>",2,2021-05-08 00:00:00
29744,33728141,10.7759/cureus.13124,Cureus,United States,Renin-Angiotensin-Aldosterone System Inhibitors and COVID-19: A Meta-Analysis and Systematic Review.,"Mohab Hassib, Steven Hamilton, Ahmed Elkhouly, Yiting Li, Adam C Kaplan","<Abstract>
                <AbstractText>Introduction Increased virulence, the severity of illness, and mortality have all been hypothesized with respect to angiotensin-converting enzyme inhibitor (ACEi)/angiotensin receptor blocker (ARB) use in coronavirus disease 2019 (COVID-19) infection. Our study aims to assess whether ACEi/ARB use in patients with COVID-19 conferred worsened severity of illness or increased mortality. Additionally, we explore the possibility of an unearthed protective benefit due to their interruption of the RAS signaling pathway as observed in cardiovascular diseases. Methods The Cochrane Library, MEDLINE, and EMBASE were searched for studies relevant to COVID-19 severity, mortality, and inflammation in the context of ACEi/ARB use. Eight studies were included with a total of 17,943 patients, 4,292 (23.9%) of which were taking an ACEi or an ARB. The study population was 47.9% female and the average age across all studies was 65. The studies chosen had a sample size of at least 100 patients. Results Mortality outcomes were assessed in six studies and showed no significant difference in mortality among the ACEi/ARB and control groups (odds ratio [OR]: 0.99, 95%CI: 0.48-2.04). Seven studies assessed the severity of COVID-19 and showed no statistically significant difference in disease severity when comparing the ACEi/ARB group to the control group (odds ratio [OR]: 1.30, 95% CI 0.87-1.94). Four studies reported the length of stay with no significant difference between the ACEi/ARB groups as compared to non-users. Four studies included inflammatory markers C-reactive protein (CRP) and D-Dimer, which were noted to be consistently lower in the ACEi/ARB groups when compared to control groups, however, this was not statistically significant. Conclusion Our study found no significant difference in mortality, severity of illness, or length of stay between ACEi/ARB users and non-users with COVID-19 infection. These results support the continuation of ACEi and ARBs in the setting of COVID-19 as advised by the American College of Cardiology (ACC)/American Heart Association (AHA). The decrease in CRP and D-dimer suggests a possible protective effect related to ACEi/ARB use in COVID-19, however, more studies with larger sample sizes are needed to establish this effect.</AbstractText>
                <CopyrightInformation>Copyright © 2021, Hassib et al.</CopyrightInformation>
            </Abstract>",0,2021-03-18 00:00:00
144581,34006531,10.1136/bmj.n1274,BMJ (Clinical research ed.),England,"Covid-19: Most UK adults had antibodies after one dose of AstraZeneca or Pfizer vaccine, data suggest.",Gareth Iacobucci,"<?xml version=""1.0""?>
<p/>
",0,2021-05-19 00:00:00
134427,34165228,10.1111/jir.12862,Journal of intellectual disability research : JIDR,England,The impact of COVID-19 on the social inclusion of older adults with an intellectual disability during the first wave of the pandemic in Ireland.,"Darren McCausland, Retha Luus, Philip McCallion, Esther Murphy, Mary McCarron","<Abstract><AbstractText Label=""BACKGROUND"" NlmCategory=""BACKGROUND"">Social restrictions and service closures from COVID-19 have negatively impacted social inclusion and well-being for some people with intellectual disabilities (IDs).</AbstractText><AbstractText Label=""METHODS"" NlmCategory=""METHODS"">The fourth wave of a national longitudinal study on ageing in people with ID in Ireland was interrupted during the COVID-19 outbreak. Social inclusion data for pre-existing participants interviewed before COVID-19 (n = 444) were compared with data for pre-existing participants interviewed during/after lockdown (n = 62).</AbstractText><AbstractText Label=""RESULTS"" NlmCategory=""RESULTS"">More people interviewed after lockdown reported frequent family contact. Significantly greater numbers in the post-lockdown group reported access to and use of technology than the pre-lockdown group. Technology use was higher among those living in grouped residences supported by services compared with individuals living independently or with family.</AbstractText><AbstractText Label=""CONCLUSIONS"" NlmCategory=""CONCLUSIONS"">During the early stages of the COVID-19 pandemic in Ireland, many older adults with ID stayed connected with family and reported rates of contact higher than were reported by others before COVID-19. This connection may have been supported by a significant increase in technology use during the pandemic. However, uneven use of technology may disadvantage some including individuals living with family or independently. Given that COVID-19 restrictions are likely to continue to restrict social opportunities, increased digital support may assist more people with ID to use technology to maintain their social connections.</AbstractText><CopyrightInformation>© 2021 The Authors. Journal of Intellectual Disability Research published by MENCAP and International Association of the Scientific Study of Intellectual and Developmental Disibilities and John Wiley &amp; Sons Ltd.</CopyrightInformation></Abstract>",0,2021-06-24 00:00:00
48943,33185828,10.1007/s11033-020-05988-1,Molecular biology reports,Netherlands,Potential approaches to combat COVID-19: a mini-review.,"Zainab Sarwar, Tahir Ahmad, Salik Kakar","<Abstract>
                <AbstractText>The outbreak of a novel coronavirus namely SARS-CoV-2, which first emerged from Wuhan, China, has wreaked havoc not only in China but the whole world that now has been engulfed in its wrath. In a short lapse of time, this virus was successful in spreading at a blistering pace throughout the globe, hence raising the flag of pandemic status. The mounting number of deaths with each elapsing day has summoned researchers from all around the world to play their part in driving this SARS-CoV-2 pandemic to an end. As of now, multiple research teams are immersed in either scrutinizing various antiviral drugs for their efficacy or developing different types of vaccines that will be capable of providing long-term immunity against this deadly virus. The mini-review sheds light on the possible approaches that can be undertaken to curb the COVID-19 spread. Possible strategies comprise viral vector-based, nucleic acid-based, protein-based, inactivated and weakened virus vaccines; COVID-19 vaccine being developed by deploying Hyleukin-7 technology; plant-based chimeric protein and subunit vaccines; humanized nano-bodies and human antibodies; intravenous immunoglobulin (IVIG) infusion therapy; inhibitors for ACE-2, Angiotensin 1 receptor (AT1R), complement system, viral proteins, host cell protease and endocytosis; shield immunity; IL-6R, NKG2A and hACE2-SARS-CoV-2-RBD interaction blocking monoclonal antibodies; SARS-CoV RdRp-based drugs, traditional Chinese medicine, repositioned and anti-viral drugs. These vaccines and drugs are currently being screened in the clinical trials as several of them have manifested positive results, hence increasing the probability of becoming one of the potential treatments for this disease.</AbstractText>
            </Abstract>",4,2021-01-10 00:00:00
17875,33706149,10.1016/j.ejmp.2021.02.023,Physica medica : PM : an international journal devoted to the applications of physics to medicine and biology : official journal of the Italian Association of Biomedical Physics (AIFB),Italy,Automatic deep learning-based pleural effusion classification in lung ultrasound images for respiratory pathology diagnosis.,"Chung-Han Tsai, Jeroen van der Burgt, Damjan Vukovic, Nancy Kaur, Libertario Demi, David Canty, Andrew Wang, Alistair Royse, Colin Royse, Kavi Haji, Jason Dowling, Girija Chetty, Davide Fontanarosa","<Abstract>
                <AbstractText>Lung ultrasound (LUS) imaging as a point-of-care diagnostic tool for lung pathologies has been proven superior to X-ray and comparable to CT, enabling earlier and more accurate diagnosis in real-time at the patient's bedside. The main limitation to widespread use is its dependence on the operator training and experience. COVID-19 lung ultrasound findings predominantly reflect a pneumonitis pattern, with pleural effusion being infrequent. However, pleural effusion is easy to detect and to quantify, therefore it was selected as the subject of this study, which aims to develop an automated system for the interpretation of LUS of pleural effusion. A LUS dataset was collected at the Royal Melbourne Hospital which consisted of 623 videos containing 99,209 2D ultrasound images of 70 patients using a phased array transducer. A standardized protocol was followed that involved scanning six anatomical regions providing complete coverage of the lungs for diagnosis of respiratory pathology. This protocol combined with a deep learning algorithm using a Spatial Transformer Network provides a basis for automatic pathology classification on an image-based level. In this work, the deep learning model was trained using supervised and weakly supervised approaches which used frame- and video-based ground truth labels respectively. The reference was expert clinician image interpretation. Both approaches show comparable accuracy scores on the test set of 92.4% and 91.1%, respectively, not statistically significantly different. However, the video-based labelling approach requires significantly less effort from clinical experts for ground truth labelling.</AbstractText>
                <CopyrightInformation>Copyright © 2021 Associazione Italiana di Fisica Medica. All rights reserved.</CopyrightInformation>
            </Abstract>",1,2021-05-20 00:00:00
91286,32425199,10.1016/j.amjcard.2020.04.054,The American journal of cardiology,United States,Cardiovascular Safety of Potential Drugs for the Treatment of Coronavirus Disease 2019.,"Gaurav Aggarwal, Brandon Michael Henry, Saurabh Aggarwal, Sripal Bangalore","<Abstract>
                <AbstractText>Coronavirus disease 2019 (COVID-19) has become a global pandemic. It is still uncontrolled in most countries and no therapies are currently available. Various drugs are under investigation for its treatment. The disease is known to have worse outcomes in patients who have underlying cardiovascular disease. Chloroquine/hydroxychloroquine, azithromycin, remdesivir and lopinavir/ritonavir are currently being studied in trials and show some promise. Conduction disorders, heart failure, and mortality have been reported with the use of these drugs. It is important to have knowledge of potential cardiotoxic effects of these drugs before using them for COVID-19 patients for better allocation of healthcare resources and improvement in clinical outcomes.</AbstractText>
                <CopyrightInformation>Copyright © 2020 Elsevier Inc. All rights reserved.</CopyrightInformation>
            </Abstract>",13,2021-01-10 00:00:00
33693,33060040,10.1016/j.jmii.2020.09.009,"Journal of microbiology, immunology, and infection = Wei mian yu gan ran za zhi",England,International air traffic and COVID-19 geographical incidence in Brazil.,"Joao Guilherme Alves, Tiago Pessoa Ferreira Lima","<?xml version=""1.0""?>
<p/>
",0,2021-03-05 00:00:00
15616,33796498,10.3389/fpubh.2021.641754,Frontiers in public health,Switzerland,A Novel BrainHealth Index Prototype Improved by Telehealth-Delivered Training During COVID-19.,"Sandra Bond Chapman, Julie M Fratantoni, Ian H Robertson, Mark D'Esposito, Geoffrey S F Ling, Jennifer Zientz, Stacy Vernon, Erin Venza, Lori G Cook, Aaron Tate, Jeffrey S Spence","<Abstract>
                <AbstractText><b>Introduction:</b> Brain health is neglected in public health, receiving attention after something goes wrong. Neuroplasticity research illustrates that preventive steps strengthen the brain's component systems; however, this information is not widely known. Actionable steps are needed to scale proven population-level interventions. <b>Objectives:</b> This pilot tested two main objectives: (1) the feasibility/ease of use of an online platform to measure brain health, deliver training, and offer virtual coaching to healthy adults and (2) to develop a data driven index of brain health. Methods: 180 participants, ages 18-87, enrolled in this 12-week pilot. Participants took a BrainHealth Index™ (BHI), a composite of assessments encompassing cognition, well-being, daily-life and social, pre-post training. Participants engaged in online training with three coaching sessions. We assessed changes in BHI, effects of training utilization and demographics, contributions of sub-domain measures to the BHI and development of a factor analytic structure of latent BrainHealth constructs. <b>Results:</b> The results indicated that 75% of participants showed at least a 5-point gain on their BHI which did not depend on age, education, or gender. The contribution to these gains were from all sub-domains, including stress, anxiety and resilience, even though training focused largely on cognition. Some individuals improved due to increased resilience and decreased anxiety, whereas others improved due to increased innovation and social engagement. Larger gains depended on module utilization, especially strategy training. An exploratory factor analytic solution to the correlation matrix of online assessments identified three latent constructs. <b>Discussion/Conclusion:</b> This pilot study demonstrated the efficacy of an online platform to assess changes on a composite BrainHealth Index and efficacy in delivering training modules and coaching. We found that adults, college age to late life, were motivated to learn about their brain and engage in virtual-training with coaching to improve their brain health. This effort intends to scale up to thousands, thus the pilot data, tested by an impending imaging pilot, will be utilized in ongoing machine learning (ML) algorithms to develop a precision brain health model. This pilot is a first step in scaling evidence-based brain health protocols to reach individuals and positively affect public health globally.</AbstractText>
                <CopyrightInformation>Copyright © 2021 Chapman, Fratantoni, Robertson, D'Esposito, Ling, Zientz, Vernon, Venza, Cook, Tate and Spence.</CopyrightInformation>
            </Abstract>",0,2021-04-16 00:00:00
38304,33406478,10.2196/24220,JMIR public health and surveillance,Canada,YouTube Videos Demonstrating the Nasopharyngeal Swab Technique for SARS-CoV-2 Specimen Collection: Content Analysis.,"Kyohei Itamura, Arthur Wu, Elisa Illing, Jonathan Ting, Thomas Higgins","<Abstract>
                <AbstractText Label=""BACKGROUND"">Real-time polymerase chain reaction using nasopharyngeal swabs is currently the most widely used diagnostic test for SARS-CoV-2 detection. However, false negatives and the sensitivity of this mode of testing have posed challenges in the accurate estimation of the prevalence of SARS-CoV-2 infection rates.</AbstractText>
                <AbstractText Label=""OBJECTIVE"">The purpose of this study was to evaluate whether technical and, therefore, correctable errors were being made with regard to nasopharyngeal swab procedures.</AbstractText>
                <AbstractText Label=""METHODS"">We searched a web-based video database (YouTube) for videos demonstrating SARS-CoV-2 nasopharyngeal swab tests, posted from January 1 to May 15, 2020. Videos were rated by 3 blinded rhinologists for accuracy of swab angle and depth. The overall score for swab angle and swab depth for each nasopharyngeal swab demonstration video was determined based on the majority score with agreement between at least 2 of the 3 reviewers. We then comparatively evaluated video data collected from YouTube videos demonstrating the correct nasopharyngeal swab technique with data from videos demonstrating an incorrect nasopharyngeal swab technique. Multiple linear regression analysis with statistical significance set at P=.05 was performed to determine video data variables associated with the correct nasopharyngeal swab technique.</AbstractText>
                <AbstractText Label=""RESULTS"">In all, 126 videos met the study inclusion and exclusion criteria. Of these, 52.3% (66/126) of all videos demonstrated the correct swab angle, and 46% (58/126) of the videos demonstrated an appropriate swab depth. Moreover, 45.2% (57/126) of the videos demonstrated both correct nasopharyngeal swab angle and appropriate depth, whereas 46.8% (59/126) of the videos demonstrated both incorrect nasopharyngeal swab angle and inappropriate depth. Videos with correct nasopharyngeal swab technique were associated with the swab operators identifying themselves as a medical professional or as an Ear, Nose, Throat-related medical professional. We also found an association between correct nasopharyngeal swab techniques and recency of video publication date (relative to May 15, 2020).</AbstractText>
                <AbstractText Label=""CONCLUSIONS"">Our findings show that over half of the videos documenting the nasopharyngeal swab test showed an incorrect technique, which could elevate false-negative test rates. Therefore, greater attention needs to be provided toward educating frontline health care workers who routinely perform nasopharyngeal swab procedures.</AbstractText>
                <CopyrightInformation>©Kyohei Itamura, Arthur Wu, Elisa Illing, Jonathan Ting, Thomas Higgins. Originally published in JMIR Public Health and Surveillance (http://publichealth.jmir.org), 14.01.2021.</CopyrightInformation>
            </Abstract>",1,2021-01-23 00:00:00
106312,32637368,10.31661/jbpe.v0i0.2005-1114,Journal of biomedical physics & engineering,Iran,COVID-19: Introducing Low Dose Radiation as an Effective Treatment for Pneumonia that Shouldn't Induce Selective Pressure and New Mutations.,"Mehdizadeh A R, Bevelacqua J J, Mortazavi S A R, Mortazavi S M J","<?xml version=""1.0""?>
<p/>
",3,2020-09-28 00:00:00
21884,33483330,10.2967/jnmt.121.261921,Journal of nuclear medicine technology,United States,COVID-19 Vaccination: An Overview and Education Tool for Nuclear Medicine Technologists.,"L Harold Barnwell, Mark H Crosthwaite","<Abstract>
                <AbstractText>Some nuclear medicine technologists may be called on to administer COVID-19 vaccines, but many may have never administered a vaccine. This article summarizes COVID-19 vaccination procedures and provides links to additional information, training, and self-assessment.</AbstractText>
                <CopyrightInformation>© 2021 by the Society of Nuclear Medicine and Molecular Imaging.</CopyrightInformation>
            </Abstract>",0,2021-03-12 00:00:00
48386,33262500,10.1038/d41586-020-03402-1,Nature,England,Meet the scientists investigating the origins of the COVID pandemic.,Smriti Mallapaty,"<?xml version=""1.0""?>
<p/>
",2,2020-12-14 00:00:00
